,Balancing Authority,BA,State,County,Upgrade of Existing Generator,Latitude of POI,Longitude of POI,Substation Newly Built,Transmission Voltage,Study Type,Study Year,Restudy,Revision of Study,Fuel,Nameplate MW,Request Status,Service Type,$2024 POI Cost/kW,$2024 Network Cost/kW,S_Month,S_Day,Q_Year,Q_Month,Q_Day
521,Duke Energy Florida,DEF,FL,Lake,N,28.837,-81.774,N,69.0,Facility,2018,N,N,Solar,20.0,Withdrawn,NRIS,121.16,0.0,9,27,2017,6,12
522,Duke Energy Florida,DEF,FL,Gilchrist,N,29.8122,-82.6765,N,69.0,Feasibility,2018,N,N,Solar,30.0,Withdrawn,NRIS,44.12,0.0,10,1,2017,6,20
523,Duke Energy Florida,DEF,FL,Gilchrist,N,29.814,-82.605,N,69.0,Feasibility,2018,N,N,Solar,74.9,Withdrawn,NRIS,17.67,0.0,10,1,2017,6,20
524,Duke Energy Florida,DEF,FL,Gilchrist,N,29.8122,-82.6765,N,69.0,Feasibility,2018,N,N,Solar,40.0,Withdrawn,ERIS,49.64,0.0,10,1,2017,9,7
525,Duke Energy Florida,DEF,FL,Alachua,N,29.814,-82.605,N,69.0,Feasibility,2018,N,N,Solar,40.0,Withdrawn,NRIS,33.09,0.0,11,1,2017,9,22
526,Duke Energy Florida,DEF,FL,Polk,N,27.69,-81.71,Y,230.0,Feasibility,2018,N,N,Solar,74.5,Withdrawn,NRIS,207.87,0.0,12,1,2018,5,18
527,Duke Energy Florida,DEF,FL,Polk,N,27.69,-81.71,N,230.0,Feasibility,2018,N,N,Solar,74.5,Withdrawn,NRIS,15.01,0.0,12,1,2018,5,22
528,Duke Energy Florida,DEF,FL,Columbia,N,29.888,-82.689,Y,69.0,Facility,2018,N,N,Solar,74.9,Operational,ERIS,182.71,0.0,7,13,2016,5,27
529,Duke Energy Florida,DEF,FL,Columbia,N,29.888,-82.689,Y,69.0,Facility,2018,N,N,Solar,74.9,Operational,NRIS,182.71,649.52,7,13,2016,5,27
530,Duke Energy Florida,DEF,FL,Columbia,N,29.87,-82.72,N,230.0,Facility,2019,N,Y,Solar,74.9,Operational,NRIS,42.53,11.0,5,28,2016,7,28
531,Duke Energy Florida,DEF,FL,Columbia,N,29.87,-82.72,N,230.0,Facility,2019,N,N,Solar,74.9,Active,NRIS,42.53,7.86,6,4,2016,7,28
532,Duke Energy Florida,DEF,FL,Gilchrist,N,29.7187,-82.7108,Y,230.0,Facility,2019,N,N,Solar,74.5,Operational,NRIS,42.76,305.31,7,19,2016,8,26
533,Duke Energy Florida,DEF,FL,Hamilton,N,30.411,-82.937,Y,69.0,Facility,2019,N,Y,Solar,30.0,Withdrawn,NRIS,116.75,872.89,12,27,2016,10,10
534,Duke Energy Florida,DEF,FL,Polk,N,27.89,-81.53,Y,230.0,Facility,2019,N,N,Solar,74.5,Suspended,NRIS,37.27,332.3,9,26,2016,12,21
535,Duke Energy Florida,DEF,FL,Hamilton,N,30.411,-82.937,N,69.0,Facility,2019,N,Y,Solar,40.0,Withdrawn,NRIS,87.6,6790.7,12,27,2016,12,21
536,Duke Energy Florida,DEF,FL,Highlands,N,27.266,-81.408,N,230.0,Feasibility,2019,N,N,Solar,74.9,Withdrawn,ERIS,23.72,0.0,4,1,2017,1,12
537,Duke Energy Florida,DEF,FL,Highlands,N,27.266,-81.408,N,69.0,Feasibility,2019,N,N,Solar,74.9,Withdrawn,ERIS,14.69,0.0,4,1,2017,2,1
538,Duke Energy Florida,DEF,FL,Hernando,N,28.29,-82.15,Y,69.0,Facility,2019,N,N,Solar,74.9,Withdrawn,NRIS,25.96,545.61,5,22,2017,6,6
539,Duke Energy Florida,DEF,FL,Gilchrist,N,29.637,-82.678,N,69.0,System Impact,2019,N,N,Solar,40.0,Withdrawn,NRIS,27.5,1120.45,9,1,2017,6,20
540,Duke Energy Florida,DEF,FL,Gilchrist,N,29.62,-82.83,N,69.0,System Impact,2019,N,N,Solar,30.0,Withdrawn,NRIS,36.67,619.16,10,1,2017,6,29
541,Duke Energy Florida,DEF,FL,Manatee,N,27.594,-82.051,N,69.0,Facility,2019,N,N,Solar,74.5,Operational,NRIS,43.02,47.6,12,12,2017,8,23
542,Duke Energy Florida,DEF,FL,Hamilton,N,30.516,-83.152,Y,115.0,System Impact,2019,N,N,Solar,74.9,Withdrawn,NRIS,166.06,969.52,10,1,2017,9,21
543,Duke Energy Florida,DEF,FL,Citrus,N,29.01,-82.53,Y,69.0,Feasibility,2019,N,N,Solar,40.0,Withdrawn,NRIS,211.53,0.0,2,1,2017,9,22
544,Duke Energy Florida,DEF,FL,Citrus,N,28.966,-82.677,N,230.0,Facility,2019,N,N,Solar,74.9,Operational,ERIS,26.1,22.12,10,9,2017,9,26
545,Duke Energy Florida,DEF,FL,Alachua,N,29.558,-82.505,N,230.0,System Impact,2019,N,N,Solar,74.5,Withdrawn,NRIS,61.38,972.4,10,1,2017,10,2
546,Duke Energy Florida,DEF,FL,Alachua,N,29.48,-82.41,Y,69.0,System Impact,2019,N,N,Solar,75.0,Withdrawn,NRIS,121.28,1734.68,10,1,2017,10,9
547,Duke Energy Florida,DEF,FL,Columbia,N,29.87,-82.72,N,230.0,Feasibility,2019,N,N,Solar,74.9,Withdrawn,NRIS,23.72,0.0,2,1,2017,10,17
548,Duke Energy Florida,DEF,FL,Suwannee,N,30.087,-82.86,Y,115.0,Feasibility,2019,N,N,Solar,40.0,Withdrawn,NRIS,275.0,528.67,3,1,2017,10,17
549,Duke Energy Florida,DEF,FL,Suwannee,N,30.118,-83.559,N,69.0,System Impact,2019,N,N,Solar,36.0,Withdrawn,NRIS,105.59,661.69,10,1,2017,11,16
550,Duke Energy Florida,DEF,FL,Levy,N,29.46,-82.653,N,69.0,Feasibility,2019,N,N,Solar,74.9,Withdrawn,NRIS,14.69,154.21,1,1,2017,11,22
551,Duke Energy Florida,DEF,FL,Suwannee,N,29.979,-82.938,Y,69.0,System Impact,2019,N,N,Solar,45.4,Withdrawn,NRIS,186.37,440.19,10,1,2017,11,27
552,Duke Energy Florida,DEF,FL,Dixie,N,29.612,-82.984,N,69.0,System Impact,2019,N,N,Solar,40.0,Withdrawn,NRIS,95.03,2108.84,10,1,2017,12,22
553,Duke Energy Florida,DEF,FL,Hamilton,N,30.508,-83.061,Y,115.0,System Impact,2019,N,N,Solar,74.9,Withdrawn,NRIS,146.86,1222.81,10,1,2018,1,31
554,Duke Energy Florida,DEF,FL,Suwannee,N,30.15,-82.97,Y,115.0,Feasibility,2019,N,N,Solar,74.9,Withdrawn,NRIS,146.86,485.09,4,1,2018,1,31
555,Duke Energy Florida,DEF,FL,Suwannee,N,30.15,-82.97,N,115.0,Feasibility,2019,N,N,Solar,74.9,Withdrawn,NRIS,16.95,1634.25,4,1,2018,2,1
556,Duke Energy Florida,DEF,FL,Alachua,N,29.67,-82.595,N,230.0,Facility,2019,N,N,Solar,74.9,Withdrawn,NRIS,33.82,59.68,11,13,2018,2,5
557,Duke Energy Florida,DEF,FL,Madison,N,30.28,-83.311,Y,230.0,Feasibility,2019,N,N,Solar,74.9,Withdrawn,NRIS,203.34,478.49,4,1,2018,3,27
558,Duke Energy Florida,DEF,FL,Hamilton,N,30.593,-83.049,Y,69.0,Feasibility,2019,N,N,Solar,60.0,Withdrawn,NRIS,141.02,338.02,4,1,2018,4,2
559,Duke Energy Florida,DEF,FL,Hamilton,N,30.593,-83.049,Y,69.0,System Impact,2019,N,N,Solar,50.0,Withdrawn,NRIS,381.2,3300.93,11,1,2018,4,2
560,Duke Energy Florida,DEF,FL,Suwannee,N,29.998,-82.904,Y,230.0,Feasibility,2019,N,N,Solar,74.9,Withdrawn,NRIS,112.97,0.0,4,1,2018,4,3
561,Duke Energy Florida,DEF,FL,Osceola,N,28.146,-81.086,N,230.0,System Impact,2019,N,N,Solar,74.5,Withdrawn,NRIS,61.38,0.0,11,1,2018,4,20
562,Duke Energy Florida,DEF,FL,Polk,N,27.871,-81.663,Y,230.0,System Impact,2019,N,N,Solar,74.5,Withdrawn,NRIS,369.58,0.0,11,1,2018,5,15
563,Duke Energy Florida,DEF,FL,Polk,N,27.871,-81.663,N,230.0,System Impact,2019,N,N,Solar,74.5,Withdrawn,NRIS,61.38,0.0,10,1,2018,5,16
564,Duke Energy Florida,DEF,FL,Alachua,N,29.558,-82.505,N,69.0,System Impact,2019,N,N,Solar,74.9,Withdrawn,NRIS,50.75,257.05,11,1,2018,6,1
565,Duke Energy Florida,DEF,FL,Dixie,N,29.612,-82.984,N,69.0,Feasibility,2019,N,N,Solar,70.0,Withdrawn,NRIS,15.71,336.02,4,1,2018,6,4
566,Duke Energy Florida,DEF,FL,Citrus,N,28.847,-82.368,N,69.0,Feasibility,2019,N,N,Solar,74.5,Withdrawn,NRIS,14.76,0.0,5,1,2018,8,7
567,Duke Energy Florida,DEF,FL,Suwannee,N,29.953,-82.779,N,115.0,Feasibility,2019,N,N,Solar,74.5,Withdrawn,NRIS,17.04,1540.75,6,1,2018,12,12
568,Duke Energy Florida,DEF,FL,Hamilton,N,30.516,-83.152,N,115.0,Feasibility,2019,N,N,Solar,64.0,Withdrawn,NRIS,19.83,669.16,6,1,2019,2,5
569,Duke Energy Florida,DEF,FL,Suwannee,N,30.37,-83.182,N,115.0,Feasibility,2019,N,N,Solar,74.9,Withdrawn,NRIS,16.95,190.21,7,1,2019,2,5
570,Duke Energy Florida,DEF,FL,Polk,N,27.777,-81.744,Y,230.0,Feasibility,2019,N,N,Solar,55.0,Withdrawn,NRIS,276.92,0.0,8,1,2019,2,13
571,Duke Energy Florida,DEF,FL,Marion,N,29.302,-82.196,N,69.0,Feasibility,2019,N,N,Solar,20.0,Withdrawn,NRIS,55.0,0.0,10,1,2019,5,24
572,Duke Energy Florida,DEF,FL,Highlands,N,27.266,-81.408,N,69.0,Feasibility,2019,N,N,Solar,74.9,Withdrawn,NRIS,14.69,0.0,10,1,2019,5,29
573,Duke Energy Florida,DEF,FL,Highlands,N,27.266,-81.408,N,69.0,Feasibility,2019,N,N,Solar,74.9,Withdrawn,NRIS,14.69,0.0,10,1,2019,5,29
575,Duke Energy Florida,DEF,FL,Columbia,N,29.87,-82.72,N,230.0,Facility,2020,N,Y,Solar,74.5,Complete,NRIS,32.18,56.6,1,23,2016,12,21
576,Duke Energy Florida,DEF,FL,Gilchrist,N,29.746,-82.7316,Y,69.0,Facility,2020,N,N,Solar,34.0,Withdrawn,NRIS,88.61,712.98,2,6,2016,12,21
577,Duke Energy Florida,DEF,FL,Levy,N,29.46,-82.653,N,230.0,Facility,2020,N,N,Solar,74.5,Complete,NRIS,43.18,42.41,2,6,2016,12,21
578,Duke Energy Florida,DEF,FL,Gilchrist,N,29.637,-82.678,N,230.0,Facility,2020,N,N,Solar,74.5,Complete,NRIS,34.77,122.12,2,4,2016,12,21
579,Duke Energy Florida,DEF,FL,Alachua,N,29.558,-82.505,N,230.0,Facility,2020,N,N,Solar,74.9,Withdrawn,NRIS,45.78,129.15,2,6,2017,5,16
580,Duke Energy Florida,DEF,FL,Osceola,N,28.146,-81.086,N,230.0,Facility,2020,N,N,Solar,74.5,Withdrawn,NRIS,49.01,407.48,7,13,2017,7,29
581,Duke Energy Florida,DEF,FL,Osceola,N,28.146,-81.086,N,230.0,Facility,2020,N,N,Solar,74.5,Withdrawn,NRIS,49.01,44.7,7,13,2017,8,21
582,Duke Energy Florida,DEF,FL,Suwannee,N,30.37,-83.182,N,115.0,Facility,2020,N,N,Solar,74.9,Complete,NRIS,1.99,87.04,7,7,2017,9,22
583,Duke Energy Florida,DEF,FL,Citrus,N,29.008,-82.6704,Y,115.0,Facility,2020,N,N,Solar,74.9,Withdrawn,ERIS,29.67,229.9,4,7,2017,9,25
584,Duke Energy Florida,DEF,FL,Osceola,N,28.336,-80.899,Y,230.0,Facility,2020,N,N,Solar,74.5,Withdrawn,NRIS,44.98,304.76,3,10,2017,12,14
585,Duke Energy Florida,DEF,FL,Dixie,N,29.612,-82.984,N,69.0,Facility,2020,N,N,Solar,40.0,Suspended,NRIS,77.18,79.62,7,9,2017,12,22
586,Duke Energy Florida,DEF,FL,Suwannee,N,29.97,-82.817,Y,69.0,Facility,2020,N,N,Solar,74.9,Operational,NRIS,42.06,253.97,3,19,2017,12,22
587,Duke Energy Florida,DEF,FL,Madison,N,30.521,-83.226,N,115.0,Facility,2020,N,N,Solar,74.5,Withdrawn,NRIS,41.92,478.91,2,20,2018,2,5
588,Duke Energy Florida,DEF,FL,Suwannee,N,30.392,-83.122,Y,115.0,Facility,2020,N,N,Solar,74.9,Suspended,NRIS,269.69,47.03,4,1,2018,2,15
589,Duke Energy Florida,DEF,FL,Madison,N,30.475,-83.393,N,115.0,Facility,2020,N,N,Solar,74.9,Suspended,NRIS,60.55,209.51,7,7,2018,3,20
590,Duke Energy Florida,DEF,FL,Suwannee,N,29.998,-82.904,Y,230.0,Facility,2020,N,N,Solar,74.9,Withdrawn,NRIS,39.83,282.0,4,24,2018,4,3
591,Duke Energy Florida,DEF,FL,Marion,N,28.96,-82.054,Y,69.0,Facility,2020,N,N,Solar,74.9,Suspended,NRIS,40.62,554.88,8,26,2018,6,15
592,Duke Energy Florida,DEF,FL,Sumter,N,28.402,-82.056,N,69.0,Facility,2020,N,N,Solar,74.5,Withdrawn,NRIS,38.6,84.11,3,10,2018,7,6
593,Duke Energy Florida,DEF,FL,Citrus,N,28.966,-82.677,N,230.0,Facility,2020,N,N,Solar,74.9,Withdrawn,NRIS,53.49,105.25,3,3,2018,7,10
594,Duke Energy Florida,DEF,FL,Gadsden,N,30.656,-84.732,N,115.0,Facility,2020,N,N,Solar,74.5,Suspended,NRIS,29.22,31.29,3,19,2018,7,17
595,Duke Energy Florida,DEF,FL,Pasco,N,28.448,-82.204,Y,69.0,Facility,2020,N,N,Solar,74.5,Suspended,NRIS,251.15,39.03,3,19,2018,7,17
596,Duke Energy Florida,DEF,FL,Levy,N,29.477,-82.848,N,69.0,Facility,2020,N,N,Solar,74.9,Operational,NRIS,38.51,38.29,5,18,2018,10,12
597,Duke Energy Florida,DEF,FL,Hernando,N,28.653,-82.299,Y,69.0,Facility,2020,Y,Y,Solar,74.9,Complete,NRIS,34.38,385.03,3,1,2018,11,14
598,Duke Energy Florida,DEF,FL,Hardee,N,27.616,-81.942,N,69.0,Facility,2020,N,N,Solar,74.9,Operational,NRIS,40.65,77.29,4,24,2018,11,15
599,Duke Energy Florida,DEF,FL,Suwannee,N,29.984,-82.808,Y,230.0,Facility,2020,N,N,Solar,74.5,Withdrawn,NRIS,45.29,317.58,3,19,2018,12,12
600,Duke Energy Florida,DEF,FL,Gilchrist,N,29.8122,-82.6765,N,69.0,Facility,2020,N,N,Solar,40.0,Withdrawn,NRIS,46.32,44.14,6,23,2019,1,11
601,Duke Energy Florida,DEF,FL,Gadsden,N,30.658,-84.732,Y,115.0,Facility,2020,N,N,Solar,74.9,Withdrawn,NRIS,28.04,550.98,5,22,2019,3,18
602,Duke Energy Florida,DEF,FL,Hamilton,N,30.521,-83.226,N,115.0,Facility,2020,N,N,Solar,74.5,Withdrawn,NRIS,44.48,30.56,8,27,2019,4,12
603,Duke Energy Florida,DEF,FL,Hardee,N,27.644,-81.662,Y,230.0,Facility,2020,N,N,Solar,74.9,Operational,NRIS,30.39,312.43,3,5,2019,4,30
604,Duke Energy Florida,DEF,FL,Sumter,N,28.96,-82.054,N,69.0,Facility,2020,N,N,Solar,64.0,Withdrawn,NRIS,47.76,665.54,9,18,2019,8,14
605,Duke Energy Florida,DEF,FL,Alachua,N,29.558,-82.505,N,230.0,Feasibility,2020,N,N,Solar,74.9,Withdrawn,NRIS,60.26,850.81,2,1,2019,9,18
606,Duke Energy Florida,DEF,FL,Alachua,N,29.558,-82.505,N,230.0,Feasibility,2020,N,N,Solar,74.9,Withdrawn,NRIS,60.26,106.45,2,1,2019,9,18
607,Duke Energy Florida,DEF,FL,Marion,N,29.037,-82.458,N,69.0,Facility,2020,N,N,Solar,74.9,Suspended,NRIS,38.96,24.74,9,9,2019,9,20
608,Duke Energy Florida,DEF,FL,Polk,N,27.749,-81.853,N,230.0,Facility,2020,N,N,Solar,74.9,Suspended,NRIS,27.83,31.42,8,20,2019,12,17
609,Duke Energy Florida,DEF,FL,Highlands,N,27.322,-81.366,N,69.0,Facility,2020,N,N,Storage,36.0,Active,NRIS,7.74,0.0,9,18,2020,1,21
610,Duke Energy Florida,DEF,FL,Polk,N,27.75,-81.861,Y,69.0,Facility,2020,N,N,Solar,74.9,Withdrawn,NRIS,28.02,593.93,10,19,2020,1,31
611,Duke Energy Florida,DEF,FL,Gulf ,N,30.098,-85.408,N,230.0,Facility,2020,Y,Y,Solar,74.9,Complete,NRIS,48.61,46.35,12,1,2020,4,29
612,Duke Energy Florida,DEF,FL,Osceola,N,28.089,-81.186,N,230.0,Facility,2020,N,Y,Solar,74.9,Active,ERIS,37.69,28.18,1,19,2023,5,1
613,Duke Energy Florida,DEF,FL,Columbia,N,29.87,-82.72,N,230.0,Facility,2021,Y,Y,Solar,74.5,Suspended,NRIS,39.2,40.28,3,8,2016,7,27
614,Duke Energy Florida,DEF,FL,Hamilton,N,30.421,-82.935,N,115.0,Facility,2021,Y,Y,Solar,74.5,Suspended,NRIS,39.06,65.83,3,16,2016,12,21
615,Duke Energy Florida,DEF,FL,Gilchrist,N,29.7187,-82.7108,N,230.0,Facility,2021,Y,Y,Solar,74.5,Suspended,NRIS,13.93,75.03,3,8,2016,12,21
616,Duke Energy Florida,DEF,FL,Alachua,N,29.8122,-82.6765,N,69.0,Facility,2021,Y,Y,Solar,74.9,Operational,NRIS,24.56,24.52,2,19,2017,6,27
617,Duke Energy Florida,DEF,FL,Levy,N,29.474,-82.782,Y,69.0,Facility,2021,Y,Y,Solar,70.0,Suspended,NRIS,40.94,240.27,2,19,2017,8,11
618,Duke Energy Florida,DEF,FL,Hamilton,N,30.521,-83.226,Y,115.0,Facility,2021,Y,Y,Solar,73.0,Withdrawn,NRIS,40.64,792.71,4,5,2017,10,12
619,Duke Energy Florida,DEF,FL,Levy,N,29.442,-82.441,N,69.0,Facility,2021,Y,Y,Solar,74.9,Active,NRIS,35.15,34.89,7,29,2017,10,16
620,Duke Energy Florida,DEF,FL,Jefferson,N,30.495,-83.842,Y,115.0,Facility,2021,Y,Y,Solar,74.9,Withdrawn,NRIS,39.04,1545.45,4,5,2018,1,31
621,Duke Energy Florida,DEF,FL,Alachua,N,29.67,-82.595,Y,230.0,Facility,2021,Y,Y,Solar,74.9,Withdrawn,NRIS,40.27,370.9,4,16,2018,2,5
622,Duke Energy Florida,DEF,FL,Gilchrist,N,28.615,-82.866,Y,69.0,Facility,2021,Y,Y,Solar,74.9,Withdrawn,NRIS,38.25,1324.59,2,12,2018,2,16
623,Duke Energy Florida,DEF,FL,Gilchrist,N,29.637,-82.678,N,230.0,Facility,2021,Y,Y,Solar,74.5,Suspended,NRIS,26.41,28.18,3,8,2018,4,20
624,Duke Energy Florida,DEF,FL,Gadsden,N,30.656,-84.732,N,115.0,Facility,2021,Y,Y,Solar,74.5,Complete,NRIS,26.08,44.48,3,8,2018,7,17
625,Duke Energy Florida,DEF,FL,Gadsden,N,30.509,-84.765,Y,115.0,Facility,2021,Y,Y,Solar,74.5,Suspended,NRIS,29.62,351.03,3,29,2019,4,1
626,Duke Energy Florida,DEF,FL,Suwannee,N,30.127,-82.933,Y,230.0,Facility,2021,Y,Y,Solar,74.9,Active,NRIS,29.95,254.66,2,19,2019,5,6
627,Duke Energy Florida,DEF,FL,Suwannee,N,30.127,-82.933,N,230.0,System Impact,2021,Y,N,Solar,74.9,Withdrawn,NRIS,53.93,0.0,2,1,2019,6,11
628,Duke Energy Florida,DEF,FL,Hardee,N,27.582,-81.588,Y,230.0,Facility,2021,Y,Y,Solar,74.5,Suspended,NRIS,28.91,232.01,5,9,2019,7,17
629,Duke Energy Florida,DEF,FL,Hardee,N,27.582,-81.588,N,230.0,Facility,2021,Y,Y,Solar,74.5,Suspended,NRIS,27.32,26.15,4,9,2019,7,17
630,Duke Energy Florida,DEF,FL,Polk,N,27.749,-81.818,N,69.0,Facility,2021,Y,Y,Solar,74.9,Suspended,NRIS,71.21,190.86,10,7,2019,11,15
631,Duke Energy Florida,DEF,FL,Alachua,N,29.442,-82.441,Y,69.0,Facility,2021,Y,Y,Solar,74.9,Complete,NRIS,31.66,217.25,7,26,2020,3,6
632,Duke Energy Florida,DEF,FL,Levy,N,29.442,-82.441,N,69.0,Facility,2021,N,N,Solar,74.9,Suspended,NRIS,27.37,331.86,2,19,2020,3,6
633,Duke Energy Florida,DEF,FL,Osceola,N,28.089,-81.186,Y,230.0,Facility,2021,N,N,Solar,74.3,Suspended,NRIS,41.47,324.2,3,6,2020,3,20
634,Duke Energy Florida,DEF,FL,Bay,N,30.16,-85.49,Y,230.0,Facility,2021,Y,Y,Solar,74.9,Operational,NRIS,46.48,309.71,3,11,2020,4,20
635,Duke Energy Florida,DEF,FL,Bay,N,30.098,-85.408,Y,230.0,Facility,2021,Y,Y,Solar,74.9,Operational,NRIS,46.48,324.75,3,11,2020,4,20
636,Duke Energy Florida,DEF,FL,Gilchrist,N,29.746,-82.7316,Y,69.0,Facility,2021,Y,Y,Solar,74.5,Suspended,NRIS,33.71,541.8,7,1,2020,4,21
637,Duke Energy Florida,DEF,FL,Gilchrist,N,29.7187,-82.7108,N,230.0,Facility,2021,Unknown,Unknown,Solar,74.5,Suspended,NRIS,64.56,4.39,5,31,2020,5,29
638,Duke Energy Florida,DEF,FL,Madison,N,30.287,-83.301,Y,230.0,Facility,2021,Unknown,Unknown,Solar,74.9,Complete,NRIS,27.32,235.4,5,5,2020,10,5
639,Duke Energy Florida,DEF,FL,Alachua,N,29.59,-82.53,Y,230.0,System Impact,2021,Unknown,Unknown,Solar,74.9,Withdrawn,NRIS,346.91,0.0,3,1,2020,10,29
640,Duke Energy Florida,DEF,FL,Suwannee,N,30.392,-83.122,N,230.0,Facility,2021,Unknown,Unknown,Solar,74.9,Suspended,NRIS,39.48,39.4,11,3,2020,12,30
641,Duke Energy Florida,DEF,FL,Wakulla,N,30.189,-84.207,N,230.0,Facility,2021,Unknown,Unknown,Solar,74.9,Suspended,NRIS,41.28,46.79,11,3,2021,3,30
642,Duke Energy Florida,DEF,FL,Alachua,N,29.8122,-82.6765,N,69.0,System Impact,2021,Unknown,Unknown,Solar,74.9,Withdrawn,NRIS,47.89,315.82,12,1,2021,9,10
643,Duke Energy Florida,DEF,FL,Alachua,N,29.558,-82.505,N,230.0,Facility,2022,Y,Unknown,Solar,74.5,Suspended,NRIS,26.63,26.97,7,11,2020,4,21
644,Duke Energy Florida,DEF,FL,Pinellas,N,27.862,-82.604,N,230.0,Facility,2022,Unknown,Unknown,Storage,225.0,Suspended,NRIS,12.82,24.65,5,16,2021,3,31
645,Duke Energy Florida,DEF,FL,Alachua,N,29.777,-82.494,Y,69.0,Facility,2022,Unknown,Unknown,Solar,144.9,Suspended,NRIS,13.29,194.31,8,3,2021,8,4
646,Duke Energy Florida,DEF,FL,Alachua,N,29.8122,-82.6765,N,230.0,Facility,2022,N,Y,Solar,74.9,Complete,NRIS,28.19,25.94,4,18,2021,9,10
647,Duke Energy Florida,DEF,FL,Manatee,N,27.594,-82.051,N,69.0,System Impact,2022,N,N,Solar,74.5,Withdrawn,NRIS,44.98,0.0,8,1,2021,12,14
648,Duke Energy Florida,DEF,FL,Osceola,N,28.089,-81.186,N,230.0,Facility,2022,N,N,Solar,74.5,Withdrawn,NRIS,37.99,29.64,12,14,2022,1,19
649,Duke Energy Florida,DEF,FL,Osceola,N,28.089,-81.186,N,230.0,Facility,2022,N,N,Solar,74.5,Withdrawn,NRIS,37.99,59.4,12,14,2022,1,19
650,Duke Energy Florida,DEF,FL,Liberty,N,30.334,-84.818,N,115.0,System Impact,2022,N,N,Solar,74.9,Withdrawn,NRIS,183.87,1162.87,5,1,2022,1,26
651,Duke Energy Florida,DEF,FL,Highlands,N,27.266,-81.408,N,230.0,System Impact,2022,N,N,Solar,74.9,Withdrawn,NRIS,145.76,2814.86,9,1,2022,3,26
652,Duke Energy Florida,DEF,FL,Highlands,N,27.383,-81.465,Y,69.0,System Impact,2022,N,N,Solar,74.9,Withdrawn,NRIS,261.75,1997.37,8,1,2022,4,4
653,Duke Energy Florida,DEF,FL,Madison,N,30.287,-83.301,N,230.0,Facility,2022,N,N,Solar,74.9,Complete,NRIS,35.11,29.55,10,24,2022,4,8
654,Duke Energy Florida,DEF,FL,Suwannee,N,30.053,-82.866,N,115.0,Feasibility,2022,N,N,Solar,74.9,Withdrawn,NRIS,50.04,1683.65,7,1,2022,4,15
655,Duke Energy Florida,DEF,FL,Suwannee,N,30.16,-82.88,Y,69.0,Feasibility,2022,N,N,Solar,40.0,Withdrawn,NRIS,420.1,1420.31,7,1,2022,4,15
656,Duke Energy Florida,DEF,FL,Levy,N,29.021,-82.629,Y,69.0,System Impact,2022,N,N,Solar,74.9,Withdrawn,NRIS,156.41,0.0,12,1,2022,7,28
657,Duke Energy Florida,DEF,FL,Highlands,N,27.439,-81.307,Y,69.0,Feasibility,2022,N,N,Solar,74.5,Withdrawn,ERIS,157.25,0.0,11,1,2022,8,17
658,Duke Energy Florida,DEF,FL,Highlands,N,27.439,-81.307,Y,69.0,Feasibility,2022,N,N,Solar,74.5,Withdrawn,NRIS,157.25,0.0,11,1,2022,8,17
659,Duke Energy Florida,DEF,FL,Jefferson,N,30.495,-83.843,N,115.0,Facility,2023,Y,Y,Solar,70.0,Active,NRIS,46.49,21.39,11,14,2017,5,9
660,Duke Energy Florida,DEF,FL,Taylor,N,30.118,-83.559,N,69.0,Facility,2023,Y,Y,Solar,74.5,Active,NRIS,65.87,7.55,11,14,2018,8,7
661,Duke Energy Florida,DEF,FL,Highlands,N,27.266,-81.408,N,230.0,Facility,2023,Y,Y,Solar,74.9,Complete,NRIS,29.44,72.33,8,13,2019,5,31
662,Duke Energy Florida,DEF,FL,Highlands,N,27.266,-81.408,N,230.0,Facility,2023,Y,Y,Solar,74.9,Active,NRIS,28.17,33.28,8,13,2019,5,31
663,Duke Energy Florida,DEF,FL,Hardee,N,27.594,-82.051,N,69.0,Facility,2023,N,N,Solar,74.5,Withdrawn,NRIS,32.06,35.27,3,7,2021,12,14
664,Duke Energy Florida,DEF,FL,Suwannee,N,30.053,-82.866,Y,230.0,Facility,2023,N,N,Solar,74.9,Suspended,NRIS,28.5,267.21,3,31,2022,4,6
665,Duke Energy Florida,DEF,FL,Suwannee,N,30.053,-82.866,N,230.0,Facility,2023,N,N,Solar,74.9,Suspended,NRIS,28.51,23.69,3,31,2022,4,15
666,Duke Energy Florida,DEF,FL,Suwannee,N,30.053,-82.866,Y,115.0,Facility,2023,N,N,Solar,74.9,Suspended,NRIS,26.74,262.83,3,29,2022,4,15
667,Duke Energy Florida,DEF,FL,Alachua,N,29.587,-86.652,Y,230.0,Facility,2023,N,N,Solar,74.5,Suspended,NRIS,33.55,820.18,2,17,2022,4,18
668,Duke Energy Florida,DEF,FL,Alachua,N,29.587,-86.652,N,230.0,Facility,2023,N,N,Solar,74.5,Suspended,NRIS,33.55,63.09,2,17,2022,4,18
669,Duke Energy Florida,DEF,FL,Levy,N,29.478,-82.484,Y,230.0,Facility,2023,N,N,Solar,74.5,Complete,NRIS,27.65,272.67,7,25,2022,8,11
670,Duke Energy Florida,DEF,FL,Levy,N,29.478,-82.484,N,230.0,Facility,2023,N,N,Solar,74.5,Active,NRIS,27.02,20.27,7,25,2022,8,11
671,Duke Energy Florida,DEF,FL,Gadsden,N,30.573,-84.767,Y,115.0,Facility,2023,N,N,Solar,74.5,Active,NRIS,42.84,1561.35,11,27,2022,8,17
