index,q_id,q_status,q_date,prop_date,on_date,wd_date,IA_status_raw,IA_status_clean,County,state,region,utility,entity,developer,cluster,service,project_type,type1,mw1,type_clean,q_year,prop_year,q_month,q_day,q_dayofweek,Biomass_x,Geothermal_x,Small Hydro_x,Solar Photovoltaic_x,Solar Thermal_x,Wind_x,Total_x,Biomass_GWh,Geothermal_GWh,Small Hydro_GWh,Solar Photovoltaic_GWh,Solar Thermal_GWh,Wind_GWh,Total_GWh,Biomass_gen,Geothermal_gen,Small Hydro_gen,Solar Photovoltaic_gen,Solar Thermal_gen,Wind_gen,Total_gen (GWh)
7295,Q56,withdrawn,2016-09-26,2020-10-01,,2018-07-05,,Withdrawn,Inyo,CA,West,Los Angeles Department of Water and Power,LADWP,,,,Generation,Solar,300.0,Solar,2016.0,2020.0,9,26,0,0,302,157,0,0,0,459,0.0,2645.52,1375.32,0.0,0.0,0.0,4020.84,0,1126,160,0,0,0,1286
7296,Q59,withdrawn,2017-03-08,2020-11-01,,2018-07-10,,Withdrawn,Kern,CA,West,Los Angeles Department of Water and Power,LADWP,,,,Generation,Solar,77.0,Solar,2017.0,2020.0,3,8,2,127,0,75,4412,0,3576,8190,1112.52,0.0,657.0,38649.12,0.0,31325.76,71744.4,186,0,149,10230,0,7869,18434
7297,Q60,withdrawn,2017-06-27,2019-12-31,,2021-09-15,,Withdrawn,Kern,CA,West,Los Angeles Department of Water and Power,LADWP,,,,Generation,Battery,65.0,Battery,2017.0,2019.0,6,27,1,127,0,75,4412,0,3576,8190,1112.52,0.0,657.0,38649.12,0.0,31325.76,71744.4,186,0,149,10230,0,7869,18434
7300,Q63,withdrawn,2018-01-19,2020-04-15,,2020-01-23,,Withdrawn,Kern,CA,West,Los Angeles Department of Water and Power,LADWP,,,,Generation,Solar,30.0,Solar+Battery,2018.0,2020.0,1,19,4,127,0,75,4412,0,3576,8190,1112.52,0.0,657.0,38649.12,0.0,31325.76,71744.4,186,0,149,10230,0,7869,18434
11349,Company EO,withdrawn,2010-02-19,2016-11-30,,,,Withdrawn,Lassen,CA,West,NV Energy,NVE,,,NRIS,Generation,Wind,140.0,Wind,2010.0,2016.0,2,19,4,36,0,30,3,0,0,68,315.36,0.0,262.8,26.28,0.0,0.0,595.68,176,0,17,6,0,0,200
11352,Company EY,withdrawn,2010-04-21,2016-11-30,,,,Withdrawn,Lassen,CA,West,NV Energy,NVE,,,NRIS,Generation,Wind,200.0,Wind,2010.0,2016.0,4,21,2,36,0,30,3,0,0,68,315.36,0.0,262.8,26.28,0.0,0.0,595.68,176,0,17,6,0,0,200
11447,Company JY,withdrawn,2019-09-23,2023-03-01,,,,Withdrawn,Lassen,CA,West,NV Energy,NVE,,,NRIS/ERIS,Generation,Solar,250.0,Solar+Battery,2019.0,2023.0,9,23,0,36,0,30,3,0,0,68,315.36,0.0,262.8,26.28,0.0,0.0,595.68,176,0,17,6,0,0,200
13507,1041,withdrawn,2018-06-20,2019-09-30,,,WITHDRAWN BY CUSTOMER,Withdrawn,Siskiyou,CA,West,PacifiCorp,PacifiCorp,,,NRIS,Generation,Solar,2.5,Solar,2018.0,2019.0,6,20,2,13,0,72,0,0,0,86,113.88,0.0,630.72,0.0,0.0,0.0,753.36,34,0,232,0,0,0,266
13508,1042,withdrawn,2018-06-20,2019-09-30,,,WITHDRAWN BY CUSTOMER,Withdrawn,Siskiyou,CA,West,PacifiCorp,PacifiCorp,,,NRIS,Generation,Solar,2.5,Solar,2018.0,2019.0,6,20,2,13,0,72,0,0,0,86,113.88,0.0,630.72,0.0,0.0,0.0,753.36,34,0,232,0,0,0,266
13522,1055,operational,2018-07-27,2018-12-31,,,IA executed 4/25/2019,IA Executed,Shasta,CA,West,PacifiCorp,PacifiCorp,Slate Creek Hydro Associates LP,,NRIS,Generation,Hydro,4.2,Hydro,2018.0,2018.0,7,27,4,144,0,86,8,0,101,339,1261.44,0.0,753.36,70.08,0.0,884.76,2969.64,711,0,157,15,0,276,1159
