index,q_id,q_status,q_date,prop_date,on_date,wd_date,IA_status_raw,IA_status_clean,County,state,region,utility,entity,developer,cluster,service,project_type,type1,mw1,type_clean,q_year,prop_year,q_month,q_day,q_dayofweek,Biomass_x,Geothermal_x,Small Hydro_x,Solar Photovoltaic_x,Solar Thermal_x,Wind_x,Total_x,Biomass_GWh,Geothermal_GWh,Small Hydro_GWh,Solar Photovoltaic_GWh,Solar Thermal_GWh,Wind_GWh,Total_GWh,Biomass_gen,Geothermal_gen,Small Hydro_gen,Solar Photovoltaic_gen,Solar Thermal_gen,Wind_gen,Total_gen (GWh)
3525,893,withdrawn,2012-04-02,2020-06-01,,2017-08-31,Executed,IA Executed,Orange,CA,CAISO,SCE,CAISO,,C05,ERIS,Generation,Gas,938.612,Gas,2012.0,2020.0,4,2,0,86,0,12,3,0,0,101,753.36,0.0,105.12,26.28,0.0,0.0,884.76,492,0,7,5,0,0,505
3526,894,withdrawn,2012-04-02,2017-04-01,,2013-02-27,,System Impact Study,Yuba,CA,CAISO,PGAE,CAISO,,C05,NRIS,Generation,Gas,310.0,Gas,2012.0,2017.0,4,2,0,3,0,2,1,0,0,6,26.28,0.0,17.52,8.76,0.0,0.0,52.56,26,0,1,2,0,0,29
3527,895,withdrawn,2012-04-02,2014-12-31,,2015-02-19,,System Impact Study,San Diego,CA,CAISO,SDGE,CAISO,,C05,NRIS,Generation,Solar,15.0,Solar,2012.0,2014.0,4,2,0,30,0,12,153,0,182,378,262.8,0.0,105.12,1340.28,0.0,1594.32,3311.28,137,0,39,358,0,499,1033
3528,896,withdrawn,2012-04-02,2015-09-01,,2013-03-25,,System Impact Study,San Diego,CA,CAISO,SDGE,CAISO,,C05,NRIS,Generation,Solar,100.0,Solar,2012.0,2015.0,4,2,0,30,0,12,153,0,182,378,262.8,0.0,105.12,1340.28,0.0,1594.32,3311.28,137,0,39,358,0,499,1033
3529,898,withdrawn,2012-04-02,2019-09-30,,2013-04-08,,System Impact Study,Kern,CA,CAISO,PGAE,CAISO,,C05,NRIS,Generation,Gas,45.0,Gas,2012.0,2019.0,4,2,0,127,0,75,4412,0,3576,8190,1112.52,0.0,657.0,38649.12,0.0,31325.76,71744.4,186,0,149,10230,0,7869,18434
3530,899,withdrawn,2012-04-02,2013-11-30,,2013-05-15,,System Impact Study,Yolo,CA,CAISO,PGAE,CAISO,,C05,NRIS,Generation,Wind,100.0,Wind,2012.0,2013.0,4,2,0,31,0,12,15,0,1,59,271.56,0.0,105.12,131.4,0.0,8.76,516.84,201,0,36,18,0,2,256
3531,9,withdrawn,2000-12-01,2008-01-01,,,Executed,IA Executed,San Luis Obispo,CA,CAISO,PGAE,CAISO,,,,Generation,Gas,1200.0,Gas,2000.0,2008.0,12,1,4,2,0,4,962,0,0,968,17.52,0.0,35.04,8427.12,0.0,0.0,8479.68,11,0,1,2259,0,0,2271
3532,90,withdrawn,2006-02-16,2009-06-01,,2009-10-26,,System Impact Study,San Diego,CA,CAISO,SDGE,CAISO,,,,Generation,Gas,93.0,Gas,2006.0,2009.0,2,16,3,30,0,12,153,0,182,378,262.8,0.0,105.12,1340.28,0.0,1594.32,3311.28,137,0,39,358,0,499,1033
3533,901,operational,2012-04-02,,2017-01-11,,Executed,IA Executed,Kern,CA,CAISO,PGAE,CAISO,,C05,NRIS,Generation,Solar,15.0,Solar,2012.0,,4,2,0,127,0,75,4412,0,3576,8190,1112.52,0.0,657.0,38649.12,0.0,31325.76,71744.4,186,0,149,10230,0,7869,18434
3534,902,withdrawn,2012-04-02,2016-12-31,,2013-05-06,,System Impact Study,Riverside,CA,CAISO,SCE,CAISO,,C05,NRIS,Generation,Solar,150.0,Solar,2012.0,2016.0,4,2,0,56,0,50,2700,250,576,3630,490.56,0.0,438.0,23652.0,2190.0,5045.76,31798.8,292,0,45,6165,615,1305,8422
3535,903,withdrawn,2012-04-02,2016-12-20,,2013-05-06,,System Impact Study,Los Angeles,CA,CAISO,SCE,CAISO,,C05,NRIS,Generation,Solar,387.0,Solar,2012.0,2016.0,4,2,0,189,0,215,1343,0,2,1749,1655.64,0.0,1883.4,11764.68,0.0,17.52,15321.24,804,0,89,3022,0,5,3919
