Project #,Project # in Queued Up,Queue Date,Balancing Authority,BA,State,County,Upgrade of Existing Generator,Latitude of POI,Longitude of POI,Substation Newly Built,POI Transmission Line,Transmission Voltage,Study Type,Study Date,Study Year,Restudy,Revision of Study,Fuel,Nameplate MW,Request Status,Service Type,$2024 POI Cost/kW,$2024 Network Cost/kW,$2024 Total Cost/kW
G0327,G0327,5/9/08,Bonneville Power Administration,BPA,WA,,N,46.2991,-120.21815,N,Tower Road – Alkali,115,Facility,2/10/09,2009,N,N,Biomass,7,Operational,,25.24,19.91,45.16
"G0367, G0368",,,Bonneville Power Administration,BPA,OR,Wasco,N,45.19423,-121.03582,N,,230,Facility,11/20/19,2019,N,N,Wind Hybrid,202,Complete,NRIS,26.72,111.8,138.52
G0601,G0601,9/26/18,Bonneville Power Administration,BPA,OR,Umatilla,N,45.8455,-119.6476,N,,115,Feasibility,4/23/19,2019,N,N,Solar,14,Withdrawn,,4.65,0.93,5.58
G0559,G0559,3/1/17,Bonneville Power Administration,BPA,WA,Benton,N,45.97209,-119.2972,Y,McNary –Franklin #2,230,Facility,8/1/19,2019,N,N,Wind,250,Active,NRIS,144.07,24.19,168.26
G0597,G0597,8/1/18,Bonneville Power Administration,BPA,WA,Kittitas,N,47.13675,-120.70275,N,,230,Feasibility,1/22/19,2019,N,N,Solar Hybrid,160,Withdrawn,NRIS,60.36,0,60.36
G0600,G0600,8/14/18,Bonneville Power Administration,BPA,WA, Lincoln,N,47.96647,-119.02032,Y,Grand Coulee -Creston ,115,System Impact,1/20/19,2019,N,N,Solar Hybrid,80,Withdrawn,NRIS,274.9,37.96,312.86
G0617,G0617,3/22/19,Bonneville Power Administration,BPA,OR,Sherman,N,45.64887,-120.61365,N,,230,System Impact,8/29/19,2019,N,N,Solar Hybrid,200,Active,ERIS,0,0.3,0.3
G0558,G0558,2/21/17,Bonneville Power Administration,BPA,WA,Benton,N,46.1866,-119.5656,Y,Ashe-Marion #2,500,Facility,10/28/19,2019,N,N,Wind,500,Active,ERIS,173.3,34.34,207.64
G0561,G0561,5/3/17,Bonneville Power Administration,BPA,WA,Benton,N,46.28198,-119.40504,N,,115,Facility,6/24/19,2019,N,Y,Wind,250,Withdrawn,ERIS,32.72,13.43,46.15
G0584,G0584,3/19/18,Bonneville Power Administration,BPA,WA,Klickitat,N,47.744,-120.2206,Y,Horse Heaven-Harvalum No 1,230,System Impact,7/19/19,2019,N,N,Solar,100,Withdrawn,ERIS,44.78,232.95,277.73
G0605,G0605,11/14/18,Bonneville Power Administration,BPA,OR,Morrow,N,45.5151,-119.5898,N,Morrow Flat –Blueridge,230,System Impact,5/31/19,2019,N,N,Solar Hybrid,80,Operational,ERIS,5.2,9.07,14.27
G0614,G0614,1/22/19,Bonneville Power Administration,BPA,WA,Klickitat,N,45.6808,-120.7315,Y,McNary-John Day #2,500,Feasibility,7/19/19,2019,N,N,Solar,600,Withdrawn,ERIS,99.36,0.7,100.06
G0624,G0624,5/31/19,Bonneville Power Administration,BPA,WA,Garfield,N,46.5959,-117.80685,N,,230,Feasibility,2/11/19,2019,N,Y,Wind Hybrid,1250,Withdrawn,ERIS,64.74,0,64.74
G0558,G0558,2/21/17,Bonneville Power Administration,BPA,WA,Benton,N,46.1866,-119.5656,Y,Ashe-Marion #2,500,Facility,10/28/19,2019,N,N,Wind,500,Active,NRIS,173.3,34.34,207.64
G0561,G0561,5/3/17,Bonneville Power Administration,BPA,WA,Benton,N,46.28198,-119.40504,N,,115,Facility,6/24/19,2019,N,Y,Wind,250,Withdrawn,NRIS,32.72,13.43,46.15
G0584,G0584,3/19/18,Bonneville Power Administration,BPA,WA,Klickitat,N,47.744,-120.2206,Y,Horse Heaven-Harvalum No 1,230,System Impact,7/19/19,2019,N,N,Solar,100,Withdrawn,NRIS,44.78,232.95,277.73
G0605,G0605,11/14/18,Bonneville Power Administration,BPA,OR,Morrow,N,45.5151,-119.5898,N,Morrow Flat –Blueridge,230,System Impact,5/31/19,2019,N,N,Solar Hybrid,80,Operational,NRIS,5.2,9.07,14.27
G0614,G0614,1/22/19,Bonneville Power Administration,BPA,WA,Klickitat,N,45.6808,-120.7315,Y,McNary-John Day #2,500,Feasibility,7/19/19,2019,N,N,Solar,600,Withdrawn,NRIS,99.36,0.7,100.06
G0624,G0624,5/31/19,Bonneville Power Administration,BPA,WA,Garfield,N,46.5959,-117.80685,N,,230,Feasibility,2/11/19,2019,N,Y,Wind Hybrid,1250,Withdrawn,NRIS,64.74,0,64.74
G0539,G0539,5/16/16,Bonneville Power Administration,BPA,OR,Crook,N,44.22522,-120.9327,N,Ponderosa – Corral #1,500-230,Facility,4/24/20,2020,N,N,Solar,600,Active,NRIS,30.48,4.82,35.31
G0607,G0607,12/6/18,Bonneville Power Administration,BPA,OR,Klamath,N,42.0066,-121.3165,N,,500,System Impact,9/30/20,2020,N,N,Storage,393.3,Withdrawn,NRIS,42.17,0.62,42.79
G0647,G0647,5/18/20,Bonneville Power Administration,BPA,WA,Benton,N,46.51522,-119.9347,N,Schultz -Wautoma,500,Feasibility,12/4/20,2020,N,Y,Solar Hybrid,560,Withdrawn,ERIS,10.45,0,10.45
G0501,G0501,10/13/14,Bonneville Power Administration,BPA,OR,Klamath,N,42.07886,-121.3891,N,,500,Facility,9/23/20,2020,N,N,Gas,1100,Active,ERIS,15.1,0.93,16.03
G0578,G0578,11/2/17,Bonneville Power Administration,BPA,WA,Yakima,N,46.5416,-119.8941,N,Midway-Moxee #1,115,Facility,7/30/20,2020,N,N,Solar Hybrid,80,Active,ERIS,20.35,53.79,74.13
G0595,G0595,7/20/18,Bonneville Power Administration,BPA,WA,Grays Harbor,N,46.96858,-123.46439,N,,230,Facility,3/18/20,2020,N,N,Wind,307,Withdrawn,ERIS,23.93,5.14,29.07
G0612,G0612,1/4/19,Bonneville Power Administration,BPA,WA,Klickitat,N,45.852,-121.31644,N,EE Clouse – Harvalum,230,System Impact,4/30/20,2020,N,N,Solar,127,Withdrawn,ERIS,10.63,179.42,190.05
G0630,G0630,10/28/19,Bonneville Power Administration,BPA,MT,Deer Lodge,N,46.104791,-112.8761,N,,230,Feasibility,5/4/20,2020,N,N,Solar,300,Withdrawn,ERIS,36.27,0,36.27
G0632,G0632,11/4/19,Bonneville Power Administration,BPA,WA,Grant,N,46.87645,-119.93826,N,,230,Feasibility,4/3/20,2020,N,N,Solar,300,Withdrawn,ERIS,22.96,0.58,23.54
G0633,G0633,12/3/19,Bonneville Power Administration,BPA,OR,"Morrow, Gilliam",N,45.8307,-119.8382,Y,Ashe – Marion,500,Feasibility,5/8/20,2020,N,N,Wind,500,Withdrawn,ERIS,192.23,18.07,210.29
G0640,G0640,2/10/20,Bonneville Power Administration,BPA,OR,Klamath,N,42.07886,-121.3891,N,,500,System Impact,5/25/20,2020,N,N,Solar,238.5,Active,ERIS,37.69,284.12,321.81
G0641,G0641,2/20/20,Bonneville Power Administration,BPA,WA,Douglas,N,47.536645,-120.279683,N,,500,Feasibility,8/21/20,2020,N,Y,Storage,500,Active,ERIS,24.46,0.55,25.01
G0501,G0501,10/13/14,Bonneville Power Administration,BPA,OR,Klamath,N,42.07886,-121.3891,N,,500,Facility,9/23/20,2020,N,N,Gas,1100,Active,NRIS,15.1,0.93,16.03
G0578,G0578,11/2/17,Bonneville Power Administration,BPA,WA,Yakima,N,46.5416,-119.8941,N,Midway-Moxee #1,115,Facility,7/30/20,2020,N,N,Solar Hybrid,80,Active,NRIS,20.35,53.79,74.13
G0595,G0595,7/20/18,Bonneville Power Administration,BPA,WA,Grays Harbor,N,46.96858,-123.46439,N,,230,Facility,3/18/20,2020,N,N,Wind,307,Withdrawn,NRIS,23.93,5.14,29.07
G0612,G0612,1/4/19,Bonneville Power Administration,BPA,WA,Klickitat,N,45.852,-121.31644,N,EE Clouse – Harvalum,230,System Impact,4/30/20,2020,N,N,Solar,127,Withdrawn,NRIS,10.63,179.42,190.05
G0630,G0630,10/28/19,Bonneville Power Administration,BPA,MT,Deer Lodge,N,46.104791,-112.8761,N,,230,Feasibility,5/4/20,2020,N,N,Solar,300,Withdrawn,NRIS,36.27,0,36.27
G0632,G0632,11/4/19,Bonneville Power Administration,BPA,WA,Grant,N,46.87645,-119.93826,N,,230,Feasibility,4/3/20,2020,N,N,Solar,300,Withdrawn,NRIS,22.96,0.58,23.54
G0633,G0633,12/3/19,Bonneville Power Administration,BPA,OR,"Morrow, Gilliam",N,45.8307,-119.8382,Y,Ashe – Marion,500,Feasibility,5/8/20,2020,N,N,Wind,500,Withdrawn,NRIS,192.23,18.07,210.29
G0640,G0640,2/10/20,Bonneville Power Administration,BPA,OR,Klamath,N,42.07886,-121.3891,N,,500,System Impact,5/25/20,2020,N,N,Solar,238.5,Active,NRIS,37.69,284.12,321.81
G0641,G0641,2/20/20,Bonneville Power Administration,BPA,WA,Douglas,N,47.536645,-120.279683,N,,500,Feasibility,8/21/20,2020,N,Y,Storage,500,Active,NRIS,24.46,0.55,25.01
G0570,G0570,7/31/17,Bonneville Power Administration,BPA,OR,Lake,N,43.24351,-120.92025,N,,115-24.5,Facility,10/27/21,2021,N,N,Solar,20,Active,,20.28,62.5,82.78
G0591,G0591,6/1/18,Bonneville Power Administration,BPA,OR,Gilliam,N,45.6753,-120.21305,N,Wheatfield/Rattlesnake Road,230,Facility,8/18/21,2021,N,N,Solar,101.88,Withdrawn,ERIS,24,14.36,38.37
G0650,G0650,7/6/20,Bonneville Power Administration,BPA,MT,Silver Bow,N,45.99905,-112.60042,Y,Broadview-Garrison #1,500,System Impact,9/2/21,2021,N,N,Gas,542,Withdrawn,NRIS,35.28,166.74,202.02
G0653,G0653,7/10/20,Bonneville Power Administration,BPA,OR,Clatsop,N,46.14883,-123.41442,N,,230,System Impact,8/13/21,2021,N,N,Wind,117,Withdrawn,NRIS,121.17,2.49,123.66
G0658,G0658,10/2/20,Bonneville Power Administration,BPA,OR,Klamath,N,41.9674,-121.316,Y,Malin – Hilltop,230,Feasibility,5/25/21,2021,N,N,Other,170,Withdrawn,NRIS,231.29,0,231.29
G0677,G0677,4/2/21,Bonneville Power Administration,BPA,OR,"Morrow, Gilliam",N,45.6945,-119.8294,N,,500,System Impact,10/27/21,2021,N,N,Solar Hybrid,400,Withdrawn,ERIS,4.88,0,4.88
G0586,G0586,4/6/18,Bonneville Power Administration,BPA,WA,Klickitat,N,45.98038,-120.38449,N,,230,Facility,7/21/21,2021,N,Y,Wind,100,Active,ERIS,4.47,1.55,6.02
G0589,G0589,5/25/18,Bonneville Power Administration,BPA,WA,Klickitat,N,45.88105,-1250.8808,N,,500,Facility,5/13/21,2021,N,N,Solar,380,Active,ERIS,40.64,1.02,41.66
G0602,G0602,10/17/18,Bonneville Power Administration,BPA,WA,Grant,N,46.87645,-119.93826,N,,230,Facility,7/3/21,2021,N,N,Solar,170,Active,ERIS,60.08,3.75,63.84
G0608,G0608,12/7/18,Bonneville Power Administration,BPA,WA,Klickitat,N,45.678,-120.7376,N,,500,System Impact,3/1/21,2021,N,N,Storage,1200,Active,ERIS,56.16,5.11,61.27
G0626,G0626,6/27/19,Bonneville Power Administration,BPA,WA,Grant,N,46.87645,-119.93826,N,,230,Facility,7/21/21,2021,N,N,Solar,90,Active,ERIS,1.47,0,1.47
G0634,G0634,12/13/19,Bonneville Power Administration,BPA,WA,Kittitas,N,47.2909,-120.0893,Y,Columbia – Ellensburg #1,115,System Impact,2/3/21,2021,N,N,Solar Hybrid,80,Withdrawn,ERIS,75.84,24.69,100.52
G0639,G0639,2/3/20,Bonneville Power Administration,BPA,WA,Douglas,N,47.3918,-120.1341,Y,Rocky Reach – Columbia #1 ,230,System Impact,8/22/21,2021,N,N,Solar Hybrid,200,Active,ERIS,173.19,31.82,205.01
G0660,G0660,11/5/20,Bonneville Power Administration,BPA,WA,Grant,N,47.0771,-119.8679,Y,Grand Coulee – Potholes #1,230,Facility,8/10/21,2021,N,N,Solar Hybrid,160,Active,ERIS,261.04,39.03,300.07
G0661,G0661,12/15/20,Bonneville Power Administration,BPA,WA,Benton,N,45.97209,-119.2972,N,,230,System Impact,12/9/21,2021,N,Y,Solar Hybrid,300,Withdrawn,ERIS,19.96,321.54,341.5
G0662,G0662,12/21/20,Bonneville Power Administration,BPA,OR,"Crook, Deschutes",N,44.27048,-121.2115,Y,Redmond – Pilot Butte,230,Feasibility,10/15/21,2021,N,N,Solar Hybrid,400,Active,ERIS,411.13,37.24,448.37
G0665,G0665,12/22/20,Bonneville Power Administration,BPA,WA,Garfield,N,46.4738,-117.5297,Y,Central Ferry-Lower Granite No 2 ,500,System Impact,11/19/21,2021,N,N,Wind Hybrid,1125,Active,ERIS,68.34,0.46,68.79
G0672,G0672,3/5/21,Bonneville Power Administration,BPA,WA,Benton,N,46.5118,-119.87314,Y,Midway-Grandview,115,Feasibility,5/21/21,2021,N,N,Solar,200,Withdrawn,ERIS,150.01,23.45,173.46
G0586,G0586,4/6/18,Bonneville Power Administration,BPA,WA,Klickitat,N,45.98038,-120.38449,N,,230,Facility,7/21/21,2021,N,Y,Wind,100,Active,NRIS,4.47,1.55,6.02
G0589,G0589,5/25/18,Bonneville Power Administration,BPA,WA,Klickitat,N,45.88105,-1250.8808,N,,500,Facility,5/13/21,2021,N,N,Solar,380,Active,NRIS,40.64,1.02,41.66
G0602,G0602,10/17/18,Bonneville Power Administration,BPA,WA,Grant,N,46.87645,-119.93826,N,,230,Facility,7/3/21,2021,N,N,Solar,170,Active,NRIS,60.08,3.75,63.84
G0608,G0608,12/7/18,Bonneville Power Administration,BPA,WA,Klickitat,N,45.678,-120.7376,N,,500,System Impact,3/1/21,2021,N,N,Storage,1200,Active,NRIS,56.16,5.11,61.27
G0626,G0626,6/27/19,Bonneville Power Administration,BPA,WA,Grant,N,46.87645,-119.93826,N,,230,Facility,7/21/21,2021,N,N,Solar,90,Active,NRIS,1.47,0,1.47
G0634,G0634,12/13/19,Bonneville Power Administration,BPA,WA,Kittitas,N,47.2909,-120.0893,Y,Columbia – Ellensburg #1,115,System Impact,2/3/21,2021,N,N,Solar Hybrid,80,Withdrawn,NRIS,75.84,24.69,100.52
G0639,G0639,2/3/20,Bonneville Power Administration,BPA,WA,Douglas,N,47.3918,-120.1341,Y,Rocky Reach – Columbia #1 ,230,System Impact,8/22/21,2021,N,N,Solar Hybrid,200,Active,NRIS,173.19,31.82,205.01
G0660,G0660,11/5/20,Bonneville Power Administration,BPA,WA,Grant,N,47.0771,-119.8679,Y,Grand Coulee – Potholes #1,230,Facility,8/10/21,2021,N,N,Solar Hybrid,160,Active,NRIS,261.04,39.03,300.07
G0661,G0661,12/15/20,Bonneville Power Administration,BPA,WA,Benton,N,45.97209,-119.2972,N,,230,System Impact,12/9/21,2021,N,Y,Solar Hybrid,300,Withdrawn,NRIS,19.96,321.54,341.5
G0662,G0662,12/21/20,Bonneville Power Administration,BPA,OR,"Crook, Deschutes",N,44.27048,-121.2115,Y,Redmond – Pilot Butte,230,Feasibility,10/15/21,2021,N,N,Solar Hybrid,400,Active,NRIS,411.13,37.24,448.37
G0665,G0665,12/22/20,Bonneville Power Administration,BPA,WA,Garfield,N,46.4738,-117.5297,Y,Central Ferry-Lower Granite No 2 ,500,System Impact,11/19/21,2021,N,N,Wind Hybrid,1125,Active,NRIS,68.34,0.46,68.79
G0672,G0672,3/5/21,Bonneville Power Administration,BPA,WA,Benton,N,46.5118,-119.87314,Y,Midway-Grandview,115,Feasibility,5/21/21,2021,N,N,Solar,200,Withdrawn,NRIS,150.01,23.45,173.46
G0585,G0585,3/19/18,Bonneville Power Administration,BPA,WA,Klickitat,N,45.9326,-119.6342,Y,McNary-John Day #2,500,Facility,3/10/22,2022,N,N,Solar,200,Active,NRIS,0.41,0,0.41
G0609,G0609,12/21/18,Bonneville Power Administration,BPA,OR,Multnomah,N,45.55923,-122.40486,N,,230,Facility,6/3/22,2022,N,N,Storage,400,Active,NRIS,17.99,0.13,18.12
G0645,G0645,3/23/20,Bonneville Power Administration,BPA,WA,Klickitat,N,45.9326,-119.6342,Y,McNary-John Day #2,500,Facility,3/10/22,2022,N,N,Solar,200,Active,NRIS,0.41,0,0.41
G0668,G0668,1/26/21,Bonneville Power Administration,BPA,WA,Grant,N,47.0809,-119.8375,Y,Grand Coulee – Potholes ,230,System Impact,2/25/22,2022,N,N,Solar Hybrid,400,Active,ERIS,96.47,45.48,141.96
G0688,G0688,8/26/21,Bonneville Power Administration,BPA,WA,Benton,N,46.6205,-119.782273,N,,230,Feasibility,3/10/22,2022,N,N,Solar Hybrid,500,Active,NRIS,16.32,152.61,168.94
G0707,G0707,10/26/21,Bonneville Power Administration,BPA,OR,Umatilla,N,45.4071,-119.6675,N,Boardman - Alkali,115,Facility,10/3/22,2022,N,N,Storage,60,Active,ERIS,4.34,0,4.34
G0711,G0711,11/23/21,Bonneville Power Administration,BPA,OR,Sherman,N,45.67752,-120.7374,Y,John Day-Marion #1,500,Feasibility,6/3/22,2022,N,N,Solar,300,Active,ERIS,599.19,12.59,611.78
G0712,G0712,11/23/21,Bonneville Power Administration,BPA,OR,Sherman,N,45.67752,-120.7374,Y,John Day-Marion #1,500,Feasibility,6/3/22,2022,N,N,Solar,448,Active,ERIS,2.53,0,2.53
G0714,G0714,12/2/21,Bonneville Power Administration,BPA,OR,Sherman,N,45.2309,-120.8997,N,,500,System Impact,10/27/22,2022,N,N,Solar Hybrid,200,Active,ERIS,3.96,0,3.96
G0718,G0718,12/7/21,Bonneville Power Administration,BPA,WA,Lewis,N,46.7119,-122.1182,Y,Chehalis-Raymond #1,115,System Impact,11/16/22,2022,N,N,Wind,170,Withdrawn,ERIS,250.33,426.25,676.58
G0733,G0733,3/15/22,Bonneville Power Administration,BPA,WA,Benton,N,46.1866,-119.5656,N,,500,System Impact,7/25/22,2022,N,N,Storage,30,Active,ERIS,5.05,0,5.05
G0737,G0737,4/26/22,Bonneville Power Administration,BPA,OR,Washington,N,45.69185,-123.18532,Y,Forest Grove – Tillamook #1,115,Feasibility,8/16/22,2022,N,N,Wind,200,Withdrawn,,387.13,0,387.13
G0750,G0750,6/15/22,Bonneville Power Administration,BPA,MT,Sanders,N,47.578,-114.6283,N,,230,Feasibility,12/16/22,2022,N,N,Solar Hybrid,300,Withdrawn,NRIS,39.16,0,39.16
G0637,G0637,1/28/20,Bonneville Power Administration,BPA,WA,Klickitat,N,45.88105,-1250.8808,N,,500,Facility,12/20/22,2022,N,N,Storage,190,Active,NRIS,3.58,0.24,3.82
G0684,G0684,7/23/21,Bonneville Power Administration,BPA,WA,Benton,N,46.51522,-119.9347,N,,500,System Impact,10/6/22,2022,N,N,Solar Hybrid,470,Active,ERIS,55.47,9.14,64.61
G0715,G0715,12/2/21,Bonneville Power Administration,BPA,OR,Sherman,N,45.2309,-120.8997,N,,500,System Impact,12/2/22,2022,N,N,Solar Hybrid,200,Active,ERIS,3.96,185.6,189.56
G0560,G0560,3/6/17,Bonneville Power Administration,BPA,WA,Grant,N,47.96647,-119.02032,N,,500,Facility,4/13/22,2022,N,N,Storage,500,Active,ERIS,60.25,1.92,62.17
G0671,G0671,2/25/21,Bonneville Power Administration,BPA,WA,Walla Walla,N,46.1891,-118.9188,Y,Franklin-Walla Walla #1,115,System Impact,4/27/22,2022,N,N,Wind,200,Active,ERIS,206.57,317.63,524.2
G0679,G0679,7/2/21,Bonneville Power Administration,BPA,WA,Douglas,N,47.536645,-120.279683,N,,500,System Impact,7/29/22,2022,N,N,Solar,200,Active,ERIS,145.24,5.45,150.69
G0680,G0680,7/2/21,Bonneville Power Administration,BPA,WA,Douglas,N,47.536645,-120.279683,N,,500,System Impact,7/29/22,2022,N,N,Storage,300,Active,ERIS,81.71,0.93,82.64
G0681,G0681,7/7/21,Bonneville Power Administration,BPA,OR,Sherman,N,45.2385,-122.8047,Y,Buckley – Marion ,500,System Impact,6/22/22,2022,N,N,Solar Hybrid,1000,Active,ERIS,74.26,0.69,74.96
G0689,G0689,9/7/21,Bonneville Power Administration,BPA,WA,Franklin,N,46.4213,-118.9016,N,Blanton Road Tap,115,Facility,9/28/22,2022,N,N,Solar,10,Active,ERIS,45.1,0,45.1
G0691,G0691,9/13/21,Bonneville Power Administration,BPA,WA,Benton,N,45.97209,-119.2972,N,,34.5,System Impact,5/11/22,2022,N,Y,Solar Hybrid,130,Active,ERIS,2.35,0,2.35
G0704,G0704,9/23/21,Bonneville Power Administration,BPA,WA,Adams,N,46.4583,-119.27286,N,,115,Feasibility,4/21/22,2022,N,N,Wind Hybrid,200,Withdrawn,ERIS,55.34,0.83,56.17
G0716,G0716,12/2/21,Bonneville Power Administration,BPA,WA,Benton,N,46.1866,-119.5656,N,,500,System Impact,7/18/22,2022,N,N,Solar Hybrid,100,Active,ERIS,40.35,0,40.35
G0729,G0729,2/4/22,Bonneville Power Administration,BPA,OR,Douglas,N,42.8339,-123.1482,Y,Grand Coulee-Chief Joseph #1,230,Feasibility,12/7/22,2022,N,Y,Solar Hybrid,300,Active,ERIS,137.91,12.49,150.4
G0735,G0735,3/18/22,Bonneville Power Administration,BPA,WA,Grays Harbor,N,46.9842,-123.6576,Y,Satsop-Aberdeen #2 and #3,230,Feasibility,9/30/22,2022,N,N,Offshore Wind,500,Withdrawn,ERIS,580.3,124.47,704.77
G0744,G0744,5/24/22,Bonneville Power Administration,BPA,WA,Grant,N,47.0771,-119.8679,Y,Grand Coulee – Hanford #1,500,Feasibility,10/6/22,2022,N,N,Solar,200,Active,ERIS,434.73,37.93,472.65
G0764,G0764,7/15/22,Bonneville Power Administration,BPA,OR,Union,N,45.3328,-117.872,Y,OTEC,69,Feasibility,12/20/22,2022,N,N,Solar Hybrid,40,Active,ERIS,74.92,16.01,90.94
G0657,G0657,9/16/20,Bonneville Power Administration,BPA,OR,Klamath,N,43.5174,-121.9609,Y,Lapine –Chiloquin,230,System Impact,4/27/22,2022,N,N,Solar,500,Active,ERIS,122.26,195.49,317.75
G0560,G0560,3/6/17,Bonneville Power Administration,BPA,WA,Grant,N,47.96647,-119.02032,N,,500,Facility,4/13/22,2022,N,N,Storage,500,Active,NRIS,60.25,1.92,62.17
G0671,G0671,2/25/21,Bonneville Power Administration,BPA,WA,Walla Walla,N,46.1891,-118.9188,Y,Franklin-Walla Walla #1,115,System Impact,4/27/22,2022,N,N,Wind,200,Active,NRIS,206.57,317.63,524.2
G0679,G0679,7/2/21,Bonneville Power Administration,BPA,WA,Douglas,N,47.536645,-120.279683,N,,500,System Impact,7/29/22,2022,N,N,Solar,200,Active,NRIS,145.24,5.45,150.69
G0680,G0680,7/2/21,Bonneville Power Administration,BPA,WA,Douglas,N,47.536645,-120.279683,N,,500,System Impact,7/29/22,2022,N,N,Storage,300,Active,NRIS,81.71,0.93,82.64
G0681,G0681,7/7/21,Bonneville Power Administration,BPA,OR,Sherman,N,45.2385,-122.8047,Y,Buckley – Marion ,500,System Impact,6/22/22,2022,N,N,Solar Hybrid,1000,Active,NRIS,74.26,0.69,74.96
G0689,G0689,9/7/21,Bonneville Power Administration,BPA,WA,Franklin,N,46.4213,-118.9016,N,Blanton Road Tap,115,Facility,9/28/22,2022,N,N,Solar,10,Active,NRIS,45.1,0,45.1
G0691,G0691,9/13/21,Bonneville Power Administration,BPA,WA,Benton,N,45.97209,-119.2972,N,,34.5,System Impact,5/11/22,2022,N,Y,Solar Hybrid,130,Active,NRIS,2.35,0,2.35
G0704,G0704,9/23/21,Bonneville Power Administration,BPA,WA,Adams,N,46.4583,-119.27286,N,,115,Feasibility,4/21/22,2022,N,N,Wind Hybrid,200,Withdrawn,NRIS,55.34,0.83,56.17
G0716,G0716,12/2/21,Bonneville Power Administration,BPA,WA,Benton,N,46.1866,-119.5656,N,,500,System Impact,7/18/22,2022,N,N,Solar Hybrid,100,Active,NRIS,40.35,0,40.35
G0729,G0729,2/4/22,Bonneville Power Administration,BPA,OR,Douglas,N,42.8339,-123.1482,Y,Grand Coulee-Chief Joseph #1,230,Feasibility,12/7/22,2022,N,Y,Solar Hybrid,300,Active,NRIS,137.91,12.49,150.4
G0735,G0735,3/18/22,Bonneville Power Administration,BPA,WA,Grays Harbor,N,46.9842,-123.6576,Y,Satsop-Aberdeen #2 and #3,230,Feasibility,9/30/22,2022,N,N,Offshore Wind,500,Withdrawn,NRIS,580.3,124.47,704.77
G0744,G0744,5/24/22,Bonneville Power Administration,BPA,WA,Grant,N,47.0771,-119.8679,Y,Grand Coulee – Hanford #1,500,Feasibility,10/6/22,2022,N,N,Solar,200,Active,NRIS,434.73,37.93,472.65
G0764,G0764,7/15/22,Bonneville Power Administration,BPA,OR,Union,N,45.3328,-117.872,Y,OTEC,69,Feasibility,12/20/22,2022,N,N,Solar Hybrid,40,Active,NRIS,74.92,16.01,90.94
G0657,G0657,9/16/20,Bonneville Power Administration,BPA,OR,Klamath,N,43.5174,-121.9609,Y,Lapine –Chiloquin,230,System Impact,4/27/22,2022,N,N,Solar,500,Active,NRIS,122.26,195.49,317.75
G0596,G0596,7/31/18,Bonneville Power Administration,BPA,WA,Yakima,N,46.5416,-119.8941,N,Midway-Moxee #1,115,Facility,2/3/23,2023,N,N,Solar Hybrid,80,Active,NRIS,25.53,94.37,119.89
G0629,G0629,9/3/19,Bonneville Power Administration,BPA,WA,Benton,N,46.2429,-119.4849,Y,Wine Country – Midway #1,230,Facility,5/23/23,2023,N,N,Solar,100,Active,NRIS,328.44,201.84,530.29
G0682,G0682,7/13/21,Bonneville Power Administration,BPA,WA,Klickitat,N,45.9808,-120.3849,Y,Big Eddy-Spring Creek #1 ,230,System Impact,1/20/23,2023,N,N,Solar Hybrid,300,Withdrawn,NRIS,125.79,378.05,503.84
"G0713, G0706",,,Bonneville Power Administration,BPA,OR,"Morrow, Gilliam",N,45.6945,-119.8294,N,n/a ,,Facility,11/14/23,2023,N,N,Solar,200,Active,NRIS,11.93,0,11.93
G0717,G0717,12/7/21,Bonneville Power Administration,BPA,WA,Klickitat,N,45.7837,-120.5324,N,Lund Hill Gen-tie,230,Facility,6/30/23,2023,N,N,Storage,75,Active,ERIS,2.06,0.92,2.98
G0763,G0763,6/28/22,Bonneville Power Administration,BPA,OR,Gilliam,N,45.5704,-120.2797,N,De Moss – Fossil #1,115,Feasibility,4/21/23,2023,N,N,Wind,3,Withdrawn,ERIS,852.3,0,852.3
G0770,G0770,8/12/22,Bonneville Power Administration,BPA,OR,Morrow,N,45.4351,-119.6713,Y,,34.5,System Impact,6/29/23,2023,N,N,Storage,24.3,Active,NRIS,14.55,0,14.55
G0771,G0771,8/12/22,Bonneville Power Administration,BPA,OR,Morrow,N,45.4351,-119.6713,Y,,34.5,System Impact,6/29/23,2023,N,N,Storage,24.3,Active,NRIS,14.55,0,14.55
G0832,G0832,12/22/22,Bonneville Power Administration,BPA,WA,Snohomish,N,47.83966,-122.197,N,,,Facility,12/4/23,2023,N,N,Storage,25,Active,,3.72,0,3.72
G0837,G0837,2/2/23,Bonneville Power Administration,BPA,OR,Boardman,N,45.8452,-119.6477,Y,new,34.5,System Impact,6/29/23,2023,N,N,Storage,24.3,Active,NRIS,0,29.11,29.11
G0837,G0837,2/2/23,Bonneville Power Administration,BPA,OR,Morrow,N,45.4351,-119.6713,Y,,34.5,System Impact,6/29/23,2023,N,N,Storage,24.3,Active,NRIS,0,29.11,29.11
G0730,G0730,2/4/22,Bonneville Power Administration,BPA,WA,Garfield,N,46.5959,-117.80685,N,,500,System Impact,3/21/23,2023,N,N,Wind Hybrid,750,Active,ERIS,40.42,59.63,100.05
G0598,G0598,8/1/18,Bonneville Power Administration,BPA,WA,Klickitat,N,45.88105,-1250.8808,N,,500,Facility,8/11/23,2023,N,N,Solar Hybrid,160,Active,ERIS,112.02,1.52,113.54
